timestamps,playback_time,rounded_playback_time,quat_x,quat_y,quat_z,deg_roll,deg_pitch,deg_yaw,rad_roll,rad_pitch,rad_yaw,deg_inclination,deg_azimuth,rad_inclination,rad_azimuth,subtitle
1620644145.436,0.0,0.0,0.061730485409498215,-0.00626390939578414,-0.040767647325992584,7.101902484893799,359.57257080078125,355.2915344238281,0.12395158151696364,6.275725260334056,6.2010070801585755,89.57257080078124,4.7084655761718555,1.5633362799493664,0.08217822702101074,
1620644145.889,0.4529998302459717,0.5,-0.0016013167332857847,0.017215222120285034,-0.2288694977760315,359.36956787109375,1.8783940076828003,333.52459716796875,6.272182190819815,0.032784160083796525,5.82110235696881,91.8783940076828,26.47540283203124,1.6035804868786931,0.4620829502107764,
1620644146.391,0.9549999237060547,1.0,0.006515365093946457,0.04460076242685318,-0.2670396566390991,359.3512878417969,5.126091003417969,328.9622802734375,6.271863144121223,0.08946716576650346,5.741474905639877,95.12609100341797,31.037719726562468,1.6602634925614,0.5417104015397092,
1620644146.88,1.444000005722046,1.5,0.010439068078994751,0.041157785803079605,-0.24714188277721405,359.99237060546875,4.867130756378174,331.35638427734375,6.283052149125083,0.08494745682388113,5.78325990314322,94.86713075637817,28.64361572265624,1.6557437836187776,0.4999254040363663,
1620644147.381,1.9449999332427979,2.0,0.011296343058347702,0.07749904692173004,-0.24183474481105804,359.0932312011719,8.938277244567871,331.8514099121094,6.267359206085682,0.1560023673737958,5.791899730351655,98.93827724456787,28.148590087890636,1.7267986941686924,0.4912855768279316,
1620644147.883,2.4469997882843018,2.5,-0.01381010189652443,0.03813423216342926,-0.21731160581111908,357.5003662109375,3.9209072589874268,334.7910461425781,6.2395584674663445,0.06843274133467663,5.843206061384249,93.92090725898743,25.208953857421886,1.6392290681295731,0.4399792457953371,
1620644148.384,2.947999954223633,3.0,-0.020827701315283775,0.04005546122789383,-0.2278621345758438,356.62286376953125,3.9236958026885986,333.5144348144531,6.224243160669516,0.06848141060359782,5.8209249904402105,93.9236958026886,26.485565185546868,1.6392777373984944,0.46226031673937573,
1620644148.886,3.4499998092651367,3.5,0.009659416042268276,-0.03681232035160065,-0.1703926920890808,1.8133172988891602,356.0318298339844,340.301513671875,0.03164835724898596,6.213927672503203,5.939381863094717,86.03182983398436,19.698486328125018,1.5015386921185137,0.3438034440848696,
1620644149.379,3.942999839782715,4.0,0.050003815442323685,-0.07779169827699661,-0.07677899301052094,6.456335544586182,351.559814453125,350.67822265625,0.11268431286657003,6.13587627990738,6.120489600393338,81.55981445312501,9.321777343749982,1.42348729952269,0.16269570678624845,<Scene>
1620644149.886,4.449999809265137,4.5,0.04202709719538689,-0.05533893406391144,-0.08617933839559555,5.369076251983643,354.10223388671875,349.8115234375,0.0937080583877513,6.18024986999028,6.105362845401688,84.10223388671876,10.188476562499982,1.46786088960559,0.1778224617778985,<Scene>
1620644150.388,4.95199990272522,5.0,0.03403792902827263,-0.052200041711330414,-0.07744185626506805,4.369887828826904,354.3407897949219,350.88348388671875,0.07626893055585586,6.184413456038509,6.124072084691712,84.34078979492188,9.11651611328124,1.4720244756538197,0.15911322248787396,<Scene>
1620644150.889,5.452999830245972,5.5,0.02696833200752735,-0.051482852548360825,-0.07590093463659286,3.5434117317199707,354.3529357910156,351.10443115234375,0.061844201472307486,6.18462544366128,6.127928341950147,84.35293579101562,8.895568847656232,1.47223646327659,0.1552569652294391,<Scene>
1620644151.39,5.953999996185303,6.0,0.01677732728421688,-0.05114763602614403,-0.07764522731304169,2.381462335586548,354.3050231933594,350.9621276855469,0.04156435876821939,6.183789211078995,6.125444677917539,84.30502319335939,9.037872314453127,1.4714002306943055,0.15774062926204735,<Scene>
1620644151.878,6.441999912261963,6.5,0.017102450132369995,-0.04530225321650505,-0.08749739825725555,2.4140920639038086,354.9999084472656,349.84344482421875,0.042133854961386816,6.195917246683216,6.105919978701732,84.99990844726562,10.156555175781238,1.483528266298526,0.17726532847785403,<Scene>
1620644152.38,6.944000005722046,7.0,0.03359659016132355,-0.04265198856592178,-0.19400422275066376,4.736329078674316,355.9561767578125,337.42608642578125,0.08266453688081636,6.212607277234742,5.8891961902488275,85.95617675781249,22.573913574218764,1.5002182968500524,0.3939891169307588,<Scene>
1620644152.882,7.44599986076355,7.5,0.04060554504394531,-0.008304537273943424,-0.3663453459739685,4.679574966430664,0.8200592994689941,317.013916015625,0.08167399075811821,0.014312734837332135,5.53293660911344,90.820059299469,42.986083984374986,1.5851090616322288,0.7502486980661462,<Scene>
1620644153.382,7.94599986076355,8.0,0.022769080474972725,-0.007571551017463207,-0.4722802937030792,2.709841728210449,0.46775996685028076,303.6285400390625,0.04729566036520565,0.00816395153055693,5.299317726705073,90.46775996685028,56.37145996093747,1.5789602783254535,0.983867580474513,<Scene>
1620644153.885,8.448999881744385,8.5,0.018115544691681862,-0.014031364582479,-0.5516038537025452,2.6186957359313965,359.804443359375,293.0213928222656,0.04570486269993885,6.279772199926541,5.114188083528215,89.804443359375,66.97860717773435,1.567383219541851,1.1689972236513713,<Scene>
1620644154.377,8.940999984741211,9.0,-0.0009903117315843701,-0.0005982557777315378,-0.7406763434410095,359.97454833984375,359.869873046875,264.42181396484375,6.282741091909761,6.280914163401967,4.615031267782445,89.869873046875,95.57818603515624,1.568525183017277,1.668154039397141,<Info>
