timestamps,playback_time,rounded_playback_time,quat_x,quat_y,quat_z,deg_roll,deg_pitch,deg_yaw,rad_roll,rad_pitch,rad_yaw,deg_inclination,deg_azimuth,rad_inclination,rad_azimuth
1620537961.787,0.0,0.0,0.01770216040313244,-0.0425272136926651,-0.1082606241106987,2.5511584281921387,355.37518310546875,347.4535827636719,0.04452611431195615,6.202467025068157,6.064209017076693,85.37518310546876,12.546417236328127,1.4900780446834672,0.21897629010289332
1620537962.29,0.503000020980835,0.5,0.03617167845368385,-0.00014310376718640327,-0.2643868923187256,4.00296688079834,1.080135703086853,329.3561096191406,0.06986495191821841,0.018851924387209465,5.748348524413371,91.08013570308685,30.643890380859354,1.589648251182106,0.5348367827662148
1620537962.777,0.9900000095367432,1.0,0.017190944403409958,-0.014650440774857998,-0.26106590032577515,2.3404698371887207,358.8940734863281,329.7028503417969,0.0408489047025588,6.26388324823091,5.754400291674467,88.89407348632815,30.297149658203118,1.5514942678462207,0.528785015505119
1620537963.279,1.4920001029968262,1.5,-0.009396081790328026,-0.052797675132751465,-0.2706393599510193,0.6059561967849731,353.88165283203125,328.5165710449219,0.010575930756760459,6.176400004318461,5.733695812095755,83.88165283203126,31.48342895507812,1.4640110239337716,0.5494894950838312
1620537963.781,1.99399995803833,2.0,-0.006807154044508934,-0.06469941139221191,-0.2654629945755005,1.2280117273330688,352.6409912109375,329.0650939941406,0.021432847895064895,6.154746374127245,5.743269343582372,82.64099121093751,30.934906005859364,1.4423573937425553,0.5399159635972142
1620537964.282,2.495000123977661,2.5,-0.015262450091540813,-0.03443825617432594,-0.2511686384677887,359.2976379394531,355.7398681640625,330.9116516113281,6.270926776681952,6.208831980073446,5.775497853830075,85.73986816406253,29.08834838867188,1.4964429996887567,0.5076874533495115
1620537964.784,2.996999979019165,3.0,-0.014291842468082905,-0.03293177857995033,-0.26389390230178833,359.4158020019531,355.9269714355469,329.3980712890625,6.272989128630109,6.2120975482021015,5.749080893713143,85.92697143554689,30.6019287109375,1.4997085678174118,0.5341044134664434
1620537965.286,3.499000072479248,3.5,-0.012949846684932709,-0.08701405674219131,-0.26528796553611755,1.239396095275879,349.9816589355469,329.00048828125,0.021631542598925427,6.108332270017126,5.742141761176833,79.98165893554688,30.99951171874997,1.3959432896324362,0.5410435460027534
1620537965.787,4.0,4.0,-0.00698443129658699,-0.05188439413905144,-0.26760727167129517,0.8255040049552917,354.0549621582031,328.86956787109375,0.014407762874869426,6.179424822684573,5.739856768961545,84.05496215820312,31.13043212890623,1.4670358422998833,0.5433285382180415
1620537966.288,4.501000165939331,4.5,-0.004109232686460018,-0.11497337371110916,-0.2676049768924713,3.155651092529297,347.1632080078125,328.3885192871094,0.05507650160879247,6.059141021522272,5.731460887308961,77.16320800781251,31.611480712890614,1.3467520411375826,0.5517244198706255
1620537966.79,5.003000020980835,5.0,0.025887958705425262,0.005495619028806686,-0.28701260685920715,2.661713123321533,1.4546167850494385,326.66339111328125,0.04645565774550262,0.02538785225388733,5.701351720656743,91.45461678504944,33.33660888671873,1.5961841790487838,0.5818335865228432
1620537967.291,5.503999948501587,5.5,0.038306139409542084,0.015771830454468727,-0.2891162931919098,3.683215379714966,2.9989776611328125,326.45660400390625,0.06428423543611932,0.052342034380526356,5.697742604747467,92.99897766113281,33.543395996093764,1.6231383611754229,0.5854427024321192
1620537967.779,5.992000102996826,6.0,0.006217232905328274,-0.07670145481824875,-0.2707536816596985,3.0970795154571533,351.7302551269531,328.2619323730469,0.05405423474079794,6.1388510308449975,5.729251528868631,81.73025512695311,31.738067626953104,1.4264620504603078,0.553933778310955
1620537968.281,6.49399995803833,6.5,0.0014003756223246455,-0.050621774047613144,-0.2597362697124481,1.6695290803909302,354.43890380859375,329.7704772949219,0.02913877941061483,6.18612586861943,5.75558060466959,84.43890380859374,30.22952270507813,1.4737368882347406,0.5276047025099961
1620537968.782,6.995000123977661,7.0,-0.0048697832971811295,-0.014693439938127995,-0.23599959909915924,359.8551025390625,358.2320556640625,332.6977844238281,6.280656369408447,6.252328857525493,5.806671752286107,88.23205566406253,27.302215576171843,1.539939877140803,0.47651355489347935
1620537969.283,7.496000051498413,7.5,0.005372111219912767,-0.004278502427041531,-0.22223983705043793,0.7091793417930603,359.6588134765625,334.3160400390625,0.012377514501415129,6.277230478982169,5.8349156409108325,89.65881347656249,25.68395996093751,1.5648414985974792,0.44826966626875375
1620537969.785,7.998000144958496,8.0,-0.008138633333146572,-0.011049513705074787,-0.2141416370868683,359.36004638671875,358.5634460449219,335.2752990722656,6.272016009567794,6.258112710780926,5.851657869419725,88.56344604492188,24.724700927734364,1.5457237303962366,0.43152743775986124
1620537970.286,8.499000072479248,8.5,-0.013804608955979347,0.007380238734185696,-0.2375914305448532,358.2623596191406,0.4455501437187195,332.5009460449219,6.252857761317982,0.007776316990625587,5.803236274479905,90.44555014371872,27.499053955078093,1.578572643785522,0.4799490326996816
1620537970.787,9.0,9.0,-0.0013971433509141207,0.03684820234775543,-0.22383366525173187,358.89605712890625,4.080021858215332,334.07415771484375,6.263917869325081,0.0712098149791948,5.830693997950839,94.08002185821533,25.92584228515623,1.6420061417740914,0.4524913092287468
1620537971.288,9.501000165939331,9.5,-0.0005823445972055197,0.040558237582445145,-0.22029787302017212,358.9076232910156,4.519515514373779,334.4825134277344,6.264119736935709,0.07888042632078755,5.837821149660109,94.51951551437378,25.517486572265625,1.6496767531156842,0.4453641575194771
